VIN,County,City,Make,Model,Electric Range
5UXTA6C05P,Yakima,Yakima,BMW,X5,30
5YJSA1E24G,King,Seattle,TESLA,MODEL S,210
1N4AZ1CP5J,King,Shoreline,NISSAN,LEAF,151
5YJ3E1EA6J,Island,Coupeville,TESLA,MODEL 3,215
1G1FW6S00H,Kitsap,Seabeck,CHEVROLET,BOLT EV,238
5YJ3E1EA0J,Snohomish,Bothell,TESLA,MODEL 3,215
1N4BZ1BV4M,King,Seattle,NISSAN,LEAF,N/A
5YJ3E1EB3J,King,Redmond,TESLA,MODEL 3,215
SADHB2S1XK,King,Seattle,JAGUAR,I-PACE,234
5YJXCAE21G,King,Seattle,TESLA,MODEL X,200
1N4AZ0CP8D,King,Bellevue,NISSAN,LEAF,75
WBY1Z4C53F,King,Seattle,BMW,I3,72
5YJ3E1EA3L,Island,Oak Harbor,TESLA,MODEL 3,266
WP0AC2Y13L,Snohomish,Bothell,PORSCHE,TAYCAN,192
5YJ3E1EB2J,King,Redmond,TESLA,MODEL 3,215
5YJ3E1EBXJ,King,Sammamish,TESLA,MODEL 3,215
7SAYGDEE7P,Snohomish,Bothell,TESLA,MODEL Y,N/A
WA1E2AFY8M,King,Duvall,AUDI,Q5 E,18
5YJ3E1EBXJ,King,Bothell,TESLA,MODEL 3,215
5YJSA1E23J,King,Auburn,TESLA,MODEL S,249
5YJ3E1EA0J,King,Kirkland,TESLA,MODEL 3,215
5YJSA1E24G,King,Kenmore,TESLA,MODEL S,210
5UXTA6C01N,King,Shoreline,BMW,X5,30
5YJ3E1EB6L,Snohomish,Lynnwood,TESLA,MODEL 3,322
5YJ3E1EB7K,Yakima,Yakima,TESLA,MODEL 3,220
5UXKT0C53G,Thurston,Lacey,BMW,X5,14
1N4AZ0CP2F,King,Seattle,NISSAN,LEAF,84
1N4AZ0CP0F,King,Seattle,NISSAN,LEAF,84
1G1FX6S01J,Thurston,Rainier,CHEVROLET,BOLT EV,238
WBA13AG06M,Kitsap,Bainbridge Island,BMW,530E,21
WA1E2AFY7M,King,Bellevue,AUDI,Q5 E,18
5YJ3E1EB3L,King,Renton,TESLA,MODEL 3,322
5YJXCAE28H,Kitsap,Silverdale,TESLA,MODEL X,200
5YJ3E1EB5K,Kitsap,Suquamish,TESLA,MODEL 3,220
1G1FW6S00H,King,Seattle,CHEVROLET,BOLT EV,238
JTMABABA2P,King,Tukwila,SUBARU,SOLTERRA,N/A
1N4AZ0CP1F,Clark,Vancouver,NISSAN,LEAF,84
5UXTA6C08M,King,Bothell,BMW,X5,30
5YJ3E1EA4K,King,Seattle,TESLA,MODEL 3,220
5YJ3E1EB2L,Kitsap,Bainbridge Island,TESLA,MODEL 3,322
3FMTK2SU0P,Yakima,Yakima,FORD,MUSTANG MACH-E,N/A
LPSED3KA6M,Snohomish,Monroe,POLESTAR,PS2,233
KNDC3DLC7P,Whitman,Pullman,KIA,EV6,N/A
55SWF4HB5J,Snohomish,Bothell,MERCEDES-BENZ,C-CLASS,8
1N4BZ0CPXG,Snohomish,Marysville,NISSAN,LEAF,84
5YJ3E1EB9K,Snohomish,Snohomish,TESLA,MODEL 3,220
WAUTPBFF1H,Snohomish,Edmonds,AUDI,A3,16
5YJSA1E2XH,Allen,Fort Wayne,IN,TESLA,MODEL S,210
5YJ3E1EB6K,Snohomish,Everett,TESLA,MODEL 3,220
5YJ3E1EA4J,Snohomish,Bothell,TESLA,MODEL 3,215
5YJ3E1EB0N,Snohomish,Bothell,TESLA,MODEL 3,N/A
5YJ3E1EA7K,Grant,Moses Lake,TESLA,MODEL 3,220
1G1RB6S5XH,Grant,Soap Lake,CHEVROLET,VOLT,53
5YJXCBE29G,Kitsap,Poulsbo,TESLA,MODEL X,200
1N4AZ0CP1D,Snohomish,Edmonds,NISSAN,LEAF,75
1N4BZ0CP7H,Snohomish,Snohomish,NISSAN,LEAF,107
5YJ3E1EA7J,Snohomish,Lynnwood,TESLA,MODEL 3,215
5YJ3E1EB1L,Grant,Quincy,TESLA,MODEL 3,322
5YJ3E1EA4J,Snohomish,Snohomish,TESLA,MODEL 3,215
5YJ3E1EB3L,Kitsap,Seabeck,TESLA,MODEL 3,322
1G1RA6E49D,Island,Oak Harbor,CHEVROLET,VOLT,38
5YJ3E1EA9K,Snohomish,Lynnwood,TESLA,MODEL 3,220
5YJ3E1EC6L,Thurston,Olympia,TESLA,MODEL 3,308
KNDCD3LD8L,Yakima,Yakima,KIA,NIRO,26
5YJ3E1EA1K,Snohomish,Edmonds,TESLA,MODEL 3,220
5YJ3E1EBXJ,Snohomish,Monroe,TESLA,MODEL 3,215
1G1RD6S53H,Stevens,Chewelah,CHEVROLET,VOLT,53
WBY33AW04P,Chelan,Manson,BMW,I4,N/A
3FA6P0SUXJ,Walla Walla,College Place,FORD,FUSION,21
1N4AZ1CP0J,Spokane,Spokane,NISSAN,LEAF,151
1FMCU0LZ9N,Snohomish,Bothell,FORD,ESCAPE,38
3FA6P0PU4F,Spokane,Spokane,FORD,FUSION,19
7SAYGDEF9P,Stevens,Colville,TESLA,MODEL Y,N/A
5YJ3E1EA6P,Snohomish,Bothell,TESLA,MODEL 3,N/A
1FADP5CU4G,Kitsap,Poulsbo,FORD,C-MAX,19
5YJ3E1EB9K,Snohomish,Arlington,TESLA,MODEL 3,220
JA3215H18C,Snohomish,Mukilteo,MITSUBISHI,I-MIEV,62
5YJYGDEE7L,Snohomish,Lynnwood,TESLA,MODEL Y,291
5YJSA1E21H,Snohomish,Bothell,TESLA,MODEL S,210
5YJSA1S2XF,Island,Clinton,TESLA,MODEL S,208
WA1VABGE7K,Thurston,Tumwater,AUDI,E-TRON,204
5YJ3E1EB1J,Island,Freeland,TESLA,MODEL 3,215
5YJ3E1EA1J,Snohomish,Snohomish,TESLA,MODEL 3,215
5YJSA1E2XJ,Thurston,Olympia,TESLA,MODEL S,249
1G1RA6E47C,Snohomish,Edmonds,CHEVROLET,VOLT,35
YV4BR00L1M,Snohomish,Bothell,VOLVO,XC90,18
1N4AZ1CP5J,Thurston,Olympia,NISSAN,LEAF,151
KNDCE3LG7K,King,Black Diamond,KIA,NIRO,239
1C4RJYC64N,Snohomish,Lake Stevens,JEEP,GRAND CHEROKEE,25
KNDC34LA8P,Snohomish,Monroe,KIA,EV6,N/A
5YJYGDEE1L,Snohomish,Bothell,TESLA,MODEL Y,291
KNAGV4LD8K,Yakima,Yakima,KIA,OPTIMA,29
KNDJX3AE9H,Thurston,Olympia,KIA,SOUL EV,93
5YJ3E1EA3J,Kitsap,Bainbridge Island,TESLA,MODEL 3,215
1G1RA6S57J,Kitsap,Bremerton,CHEVROLET,VOLT,53
5UXTA6C08N,King,Seattle,BMW,X5,30
WVWPR7AU8K,Thurston,Olympia,VOLKSWAGEN,E-GOLF,125
7SAYGAEE8P,Snohomish,Bothell,TESLA,MODEL Y,N/A
1FADP5CUXD,Yakima,Yakima,FORD,C-MAX,19
7SAXCBE58N,Yakima,Yakima,TESLA,MODEL X,N/A
1N4AZ1CP3J,Kitsap,Poulsbo,NISSAN,LEAF,151
KNDJX3AE7H,Island,Oak Harbor,KIA,SOUL EV,93
JN1AZ0CP8B,King,Seattle,NISSAN,LEAF,73
1N4AZ0CP4F,Snohomish,Bothell,NISSAN,LEAF,84
5YJSA1AC7D,Snohomish,Lake Stevens,TESLA,MODEL S,208
WBY1Z2C56E,King,Seattle,BMW,I3,81
3FA6P0SU9H,Thurston,Lacey,FORD,FUSION,21
JN1AZ0CPXC,Kitsap,Silverdale,NISSAN,LEAF,73
KNDCE3LG1K,Thurston,Olympia,KIA,NIRO,239
5YJ3E1EA1J,Kitsap,Bremerton,TESLA,MODEL 3,215
1N4AZ0CP6E,King,Seattle,NISSAN,LEAF,84
5YJXCBE23J,King,Renton,TESLA,MODEL X,238
1C4JJXR62M,Thurston,Lacey,JEEP,WRANGLER,21
5YJSA1E26H,Chelan,Manson,TESLA,MODEL S,210
5YJ3E1EB8L,Snohomish,Edmonds,TESLA,MODEL 3,322
1G1RC6E49B,Thurston,Olympia,CHEVROLET,VOLT,35
WBY1Z6C31H,Snohomish,Everett,BMW,I3,81
5YJSA1E25J,Snohomish,Snohomish,TESLA,MODEL S,249
5YJ3E1EB7L,Thurston,Olympia,TESLA,MODEL 3,322
KNDCD3LD8L,Thurston,Olympia,KIA,NIRO,26
1N4BZ0CP8G,King,Seattle,NISSAN,LEAF,84
1N4AZ0CP0G,King,Kenmore,NISSAN,LEAF,84
3FA6P0SU6G,Kittitas,Easton,FORD,FUSION,19
1G1FZ6S0XL,Thurston,Olympia,CHEVROLET,BOLT EV,259
5YJ3E1EB9L,Thurston,Tenino,TESLA,MODEL 3,322
5YJ3E1EA4J,Snohomish,Mill Creek,TESLA,MODEL 3,215
1N4AZ0CPXF,Thurston,Olympia,NISSAN,LEAF,84
